"symbol","company","weight","sector","shares_held"
"AEP","American Electric Power Company Inc.",0.00168264915184142,"Utilities",5636946
"BBT","BB&T Corporation",0.00167621491058261,"Financials",9306958
"ISRG","Intuitive Surgical Inc.",0.00166617829474655,"Health Care",420865
"PCG","PG&E Corporation",0.00166269599932187,"Utilities",5858311
"AON","Aon plc",0.00166011429754151,"Financials",3005447
"NSC","Norfolk Southern Corporation",0.00165731245064809,"Industrials",3330110
"ETN","Eaton Corp. Plc",0.00165217906687551,"Industrials",5151123
"ECL","Ecolab Inc.",0.00165184884920593,"Materials",3007299
"HUM","Humana Inc.",0.00164737590077251,"Health Care",1656183
"EA","Electronic Arts Inc.",0.00163522789317034,"Information Technology",3535281
"INTU","Intuit Inc.",0.00163214586158758,"Information Technology",2786441
"EXC","Exelon Corporation",0.00161807658754421,"Utilities",10625883
"EQIX","Equinix Inc.",0.00161264300589019,"Real Estate",890505
"VRTX","Vertex Pharmaceuticals Incorporated",0.00158642572424465,"Health Care",2848378
"MU","Micron Technology Inc.",0.00157613894350739,"Information Technology",11906461
"MAR","Marriott International Inc. Class A",0.00156465137124438,"Consumer Discretionary",3604071
"GIS","General Mills Inc.",0.00155124253254017,"Consumer Staples",6646836
"ALL","Allstate Corporation",0.00153802381916088,"Financials",4185485
"STZ","Constellation Brands Inc. Class A",0.00152390451213727,"Consumer Staples",1979049
"PSA","Public Storage",0.00151559903741749,"Real Estate",1704665
"APD","Air Products and Chemicals Inc.",0.00150229026467377,"Materials",2484417
"AFL","Aflac Incorporated",0.00148943178875219,"Financials",4600620
"STT","State Street Corporation",0.00147701360305673,"Financials",4058154
"ZTS","Zoetis Inc. Class A",0.00147606297643217,"Health Care",5635620
"PLD","Prologis Inc.",0.00147512235640367,"Real Estate",6042040
"HPQ","HP Inc.",0.00144635339276591,"Information Technology",19476568
"BAX","Baxter International Inc.",0.00143430545112422,"Health Care",5601121
"ADI","Analog Devices Inc.",0.00143262434298817,"Information Technology",4210839
"VLO","Valero Energy Corporation",0.00142441893422888,"Energy",5174703
"WM","Waste Management Inc.",0.001420476335386,"Industrials",4636803
"SHW","Sherwin-Williams Company",0.00138650394180332,"Materials",930657
"FOXA","Twenty-First Century Fox Inc. Class A",0.00137492631017588,"Consumer Discretionary",12120710
"PPG","PPG Industries Inc.",0.0013604167459064,"Materials",2946198
"HCN","Welltower Inc.",0.00135708454942244,"Real Estate",4201033
"ALXN","Alexion Pharmaceuticals Inc.",0.00135452286083418,"Health Care",2575340
"TGT","Target Corporation",0.00134905925939201,"Consumer Discretionary",6370435
"SRE","Sempra Energy",0.00134877907470267,"Utilities",2865833
"HPE","Hewlett Packard Enterprise Co.",0.00133866240609823,"Information Technology",19042806
"FIS","Fidelity National Information Services Inc.",0.00133426951043319,"Information Technology",3769659
