"symbol","Name","asset","weight","price","shares","market_value","notional_value","sector","sedol","isin","exchange"
"HRB","H&R BLOCK INC","Equity",1e-04,17.37,1417283,24618205.71,24618205.71,"Consumer Discretionary","2105505","US0936711052","NYSE"
"KSS","KOHLS CORP","Equity",1e-04,21.26,1149905,24446980.3,24446980.3,"Consumer Discretionary","2496113","US5002551043","NYSE"
"UNM","UNUM","Equity",1e-04,16.07,1474249,23691181.43,23691181.43,"Financials","2433842","US91529Y1064","NYSE"
"FTI","TECHNIPFMC PLC","Equity",1e-04,7.49,3039181,22763465.69,22763465.69,"Energy","BDSFG98","GB00BDSFG982","NYSE"
"XRX","XEROX HOLDINGS CORP","Equity",1e-04,16.06,1353969,21744742.14,21744742.14,"Information Technology","BJJD5G3","US98421M1062","NYSE"
"GPS","GAP INC","Equity",1e-04,10.14,1482619,15033756.66,15033756.66,"Consumer Discretionary","2360326","US3647601083","NYSE"
"ADS","ALLIANCE DATA SYSTEMS CORP","Equity",1e-04,47.57,290372,13812996.04,13812996.04,"Information Technology","2762030","US0185811082","NYSE"
"UAA","UNDER ARMOUR INC CLASS A","Equity",1e-04,9.47,1442559,13661033.73,13661033.73,"Consumer Discretionary","B0PZN11","US9043111072","NYSE"
"JWN","NORDSTROM INC","Equity",1e-04,17.15,795095,13635879.25,13635879.25,"Consumer Discretionary","2641827","US6556641008","NYSE"
"UA","UNDER ARMOUR INC CLASS C","Equity",1e-04,8.52,1491001,12703328.52,12703328.52,"Consumer Discretionary","BDF9YM2","US9043112062","NYSE"
"NWS","NEWS CORP CLASS B","Equity",1e-04,11.44,978989,11199634.16,11199634.16,"Communication","BBGVT51","US65249B2088","NASDAQ"
"COTY","COTY INC CLASS A","Equity",1e-04,4.58,2034020,9315811.6,9315811.6,"Consumer Staples","BBBSMJ2","US2220702037","NYSE"
