"x"
"WY"
"APC"
"EW"
"VTR"
"YUM"
"CAH"
"HCA"
"SYY"
"EQR"
"LRCX"
"CMI"
"MTB"
"AAL"
"XEL"
"WMB"
"CBS"
"IR"
"ROP"
"ADM"
"IP"
"DLPH"
"DFS"
"APH"
"INCY"
"BHI"
"BCR"
"SYF"
"DXC"
"ROST"
"PEG"
"PCAR"
"SWK"
"EL"
"UAL"
"PH"
"ADSK"
"MNST"
"ROK"
"KR"
"NTRS"
"ORLY"
"WEC"
"MCO"
"CERN"
"KEY"
"ES"
"DTE"
"OMC"
"BXP"
"AMP"
"FTV"
"A"
"SWKS"
"DLR"
"PAYX"
"HIG"
"MCHP"
"WLTW"
"RCL"
"EXPE"
"FITB"
"NUE"
"TSN"
"TROW"
"VFC"
"NEM"
"RHT"
"MYL"
"SYMC"
"CLX"
"DG"
"K"
"CFG"
"LVLT"
"ESS"
"APA"
"VMC"
"CXO"
"DPS"
"COL"
"XLNX"
"EFX"
"PFG"
"ULTA"
"AZO"
"RF"
"VNO"
"DVN"
"TAP"
"ABC"
"DLTR"
"MTD"
"FCX"
"HSY"
"MHK"
"HCP"
"CAG"
"LH"
"KLAC"
"BEN"
"DGX"
"O"
"BBY"
"LNC"
"WAT"
"XRAY"
"RSG"
"BLL"
"IDXX"
"INFO"
"ADS"
"HSIC"
"CNC"
"AWK"
"MLM"
"DISH"
"MSI"
"IVZ"
"WRK"
"SJM"
"ETR"
"WHR"
"AME"
"GPN"
"HST"
"HRS"
"TSO"
"WFM"
"HBAN"
"GGP"
"CHD"
"AEE"
"GPC"
"CTL"
"HLT"
"TDG"
"COH"
"FOX"
"LLL"
"CMS"
"HOLX"
"NBL"
"LB"
"FE"
"L"
"VRSK"
"NLSN"
"CTXS"
"FTI"
"CMA"
"MAS"
"STX"
"HAS"
"FAST"
"MAA"
"DOV"
"TXT"
"EMN"
"CMG"
"VIAB"
"NOV"
"CNP"
"COO"
"XL"
"ALB"
"KMX"
"ALGN"
"DHI"
"MKC"
"IT"
"COG"
"ARNC"
"ALK"
"SNPS"
"WYNN"
"CTAS"
"DRI"
"HES"
"CA"
"WYN"
"PNR"
"KSU"
"ARE"
"SLG"
"AMD"
"NTAP"
"JNPR"
"PRGO"
"IFF"
"CINF"
"LEN"
"CBG"
"UDR"
"ANSS"
"RE"
"CPB"
"UNM"
"UHS"
"AJG"
"OKE"
"DVA"
"ETFC"
"TIF"
"FBHS"
"RJF"
"EXPD"
"FMC"
"VAR"
"TSS"
"HOG"
"LKQ"
"SCG"
"XYL"
"EXR"
"MRO"
"PNW"
"EQT"
"IPG"
"GWW"
"LNT"
"CHRW"
"WU"
"HRL"
"AMG"
"FRT"
"COTY"
"REG"
"PVH"
"AKAM"
"QRVO"
"SNA"
"URI"
"SEE"
"XEC"
"AAP"
"BF.B"
"IRM"
"GT"
"ZION"
"HBI"
"FFIV"
"TMK"
"VRSN"
"NI"
"BWA"
"LUK"
"CBOE"
"MOS"
"NDAQ"
"AVY"
"ALLE"
"AYI"
"JBHT"
"AES"
"KIM"
"PKI"
"MAC"
"EVHC"
"LEG"
"TSCO"
"MAT"
"PHM"
"M"
"AIV"
"KSS"
"FL"
"HRB"
"SRCL"
"JEC"
"CF"
"SNI"
"XRX"
"RHI"
"FLR"
"PBCT"
"GRMN"
"SPLS"
"KORS"
"FLS"
"AIZ"
"HP"
"JWN"
"DISCK"
"NFX"
"NRG"
"NWSA"
"GPS"
"NAVI"
"FLIR"
"PWR"
"CSRA"
"MNK"
"BBBY"
"RRC"
"RL"
"TRIP"
"SIG"
"MUR"
"PDCO"
"DISCA"
"UAA"
"UA"
"CHK"
"RIG"
"AN"
"NWS"
